Aeroporto Anaa, Anaa, Polinésia Francesa
Las Lenas, Mendoza, Argentina
Lujan de Cuyo, Mendoza, Argentina
Valle de Uco, Mendoza, Argentina
Mendoza, Mendoza, Argentina
Chacras de Coria, Mendoza, Argentina
San Rafael, Mendoza, Argentina
Tunuyan, Mendoza, Argentina
Mena, Etiópia
Aeroporto Mersing, Mersing, Malásia
Aeroporto Seunagan, Meulaboh, Indonésia
Sao Joao de Meriti, Rio de Janeiro, Brasil
Bolzano, Tirol Meridional, Itália
Haia, Holanda do Sul, Holanda
Merty, Austrália
Merida, Yucatán, México
Mersin, Mersin, Turquia
Merlo, Buenos Aires, Argentina
Roterdã, Holanda do Sul, Holanda
Praga, Hlavni mesto Praha, República Checa
Mesa, Arizona, Estados Unidos
Messina, Sicília, Itália
Messias, Alagoas, Brasil
Messina, Limpopo, África do Sul
Ceglie Messapica, Puglia, Itália
Ljubljana, Mestna Obcina Ljubljana, Eslovénia
Mesquita, Rio de Janeiro, Brasil
Detroit Metro, Michigan, Estados Unidos
Metekel, Etiópia
Metan, Salta, Argentina
Metepec, México, México
Metileo, La Pampa, Argentina
Metz / Nancy, França
Metlakatla, Alasca, Estados Unidos
Metz, Region Lorraine, França
Meudon, Ile-de-France, França
Meulaboh, Nanggroe Aceh Darussalam, Indonésia
Mevang, Gabão
Aeroporto Mweka, Mweka, República Democrática do Congo
Cancún, Quintana Roo, México
Riviera Maya, Quintana Roo, México
Ilha das Mulheres, Quintana Roo, México
Cozumel, Quintana Roo, México
Puerto Vallarta, Jalisco, México
Tulum, Quintana Roo, México
Cidade do México, México D.F., México
Playa del Carmen, Quintana Roo, México
Aeroporto Meghauli, Meghauli, Nepal
Aeroporto Annecy-Meythe, Annecy, França
Mezcales, Nayarit, México
Aeroporto Mafia, Mafia Island, Tanzânia
Aeroporto Mafeteng, Mafeteng, Lesoto
Aeroporto Internacional Mc Allen Miller, McAllen, Estados Unidos
Aeroporto Moanda, Moanda, Gabão
Aeroporto Muzaffarabad, Muzaffarabad, Paquistão
Aeroporto Moala, Moala, Fiji
Aeroporto Matsu, Matsu, Taiwan
Aeroporto Mount Full Stop, Mt. Full Stop, Austrália
Aeroporto Internacional Macau, Macau, Macau
Aeroporto Milford Sound, Milford Sound, Nova Zelândia
Aeroporto Manguna, Ras Nasrani, Egito
Aeroporto Manners Creek, Manners Creek, Austrália
Aeroporto Maradi, Maradi, Níger
Aeroporto Internacional Rogue Valley - Medford, Medford, Estados Unidos
Mfuwe, Zâmbia
Aeroporto Meribel, Meribel, França
Aeroporto Augusto C Sandino, Manágua, Nicarágua
Aeroporto Mount Gambier, Mount Gambier, Austrália
Aeroporto Regional De Maringa SBMG, Maringá, Brasil
Aeroporto Margarima, Margarima, Papua-Nova Guiné
Aeroporto Margate, Margate, África do Sul
Aeroporto Moenchen-gl. - Dus Exp, Moenchengladbach, Alemanha
Aeroporto Dannelly Fld, Montgomery, Estados Unidos
Aeroporto Manega, Manega, Gabão
Aeroporto Manga, Manga, Papua-Nova Guiné
Aeroporto Internacional Mogadishu, Mogadishu, Somália
Aeroporto Mangaia Island, Mangaia, Ilhas Cook
Aeroporto Milingimbi, Millingimbi, Austrália
Aeroporto Manaung, Manaung, Mianmar [Birmânia]
Aeroporto Margaret River, Margaret River, Austrália
Aeroporto Morgantown, Morgantown, Estados Unidos
Aeroporto Moabi, Moabi, Gabão
Aeroporto Myeik, Myeik, Mianmar [Birmânia]
Aeroporto Mahdia, Mahdia, Tunísia
Aeroporto Mocopulli, Castro, Chile
Aeroporto Mannheim Arpt, Mannheim, Alemanha
Aeroporto Internacional Mars Harbour, Marsh Harbour, Bahamas
Aeroporto Musha, Musha, Djibouti
Aeroporto Intermediate, Minchumina, Estados Unidos
Aeroporto Mount House, Mt. House, Austrália
Aeroporto Mariehamn, Mariehamn, Ilhas Aland
Aeroporto Manchester-boston Regional, Manchester, Estados Unidos
Aeroporto Mount Hotham, Mount Hotham, Austrália
Aeroporto Manihiki Island, Manihiki Island, Ilhas Cook
Aeroporto Morehead, Morehead, Papua-Nova Guiné
Aeroporto Mildenhall Arpt, Mildenhall, Reino Unido
Miami, Flórida, Estados Unidos
Miami Beach, Flórida, Estados Unidos
Mianwali, Punjab, Paquistão
Mialet, Languedoc-Roussillon, França
Miandrivazo, Madagáscar
New Miami, Ohio, Estados Unidos
Miahuatlan de Porfirio Diaz, Oaxaca, México
Monkey Mia, Austrália
Detroit Metro, Michigan, Estados Unidos
St. Michael, Alasca, Estados Unidos
Lopez de Micay, Cauca, Colômbia
Ann Arbor, Michigan, Estados Unidos
Tacatzcuaro, Michoacão, México
Pajacuaran, Michoacão, México
Michigan City, Indiana, Estados Unidos
Míconos, South Aegean, Grécia
Tolosa, Midi-Pyrénées, França
Midland, Canadá
Midway City, Califórnia, Estados Unidos
Midwolda, Provincie Groningen, Holanda
Middle Caicos, North Caicos, Ilhas Turks e Caicos
Midlands Orientais, Reino Unido
Lourdes, Midi-Pirineus, França
Midland, Michigan, Estados Unidos
Miele Mimbale, Gabão
São Miguel dos Milagres, Alagoas, Brasil
Barra de Sao Miguel, Alagoas, Brasil
São Miguel das Missões, Rio Grande do Sul, Brasil
Miguel Pereira, Rio de Janeiro, Brasil
San Miguel de Tucumán, Tucumán, Argentina
Barra de São Miguel, Paraíba, Brasil
San Miguel, San Miguel, El Salvador
Sao Miguel do Gostoso, Rio Grande do Norte, Brasil
Aeroporto Miho, Yonago, Japão
Aeroporto Mitchell Plateau, Mitchell Plateau, Austrália
Aeroporto Frank Miloye Milenkovich, Marília, Brasil
Mijas, Espanha
Míconos, South Aegean, Grécia
Mikkeli, Eastern Finland, Finlândia
Milão, Lombardia, Itália
São Miguel dos Milagres, Alagoas, Brasil
Milos, South Aegean, Grécia
Milwaukee, Wisconsin, Estados Unidos
Milas, Turquia
Milagro, Guayas, Equador
Milton, Flórida, Estados Unidos
Mildura, Victoria, Austrália
Miele Mimbale, Gabão
Culion, Mimaropa, Filipinas
Busuanga, Mimaropa, Filipinas
San Jose, Mimaropa, Filipinas
Mamburao, Mimaropa, Filipinas
Cagayan de Sulu, Mimaropa, Filipinas
Mimoso do Sul, Espírito Santo, Brasil
Monte Verde, Minas Gerais, Brasil
Poços de Caldas, Minas Gerais, Brasil
São Lourenço, Minas Gerais, Brasil
Ouro Preto, Minas Gerais, Brasil
Tiradentes, Minas Gerais, Brasil
Uberlândia, Minas Gerais, Brasil
Belo Horizonte, Minas Gerais, Brasil
Capitólio, Minas Gerais, Brasil
Sao Jose de Mipibu, Rio Grande do Norte, Brasil
St. Pierre, Saint Pierre e Miquelon
Miquelon, Commune de Miquelon-Langlade, Saint Pierre e Miquelon
Mogi Mirim, São Paulo, Brasil
Miranda, Mato Grosso do Sul, Brasil
Sapucai Mirim, Minas Gerais, Brasil
Mirai, Minas Gerais, Brasil
Miri, Malásia
Miranda, Carabobo, Venezuela
Mirassol, São Paulo, Brasil
Miramar, Tamaulipas, México
Puerto Iguazu, Misiones, Argentina
Posadas, Misiones, Argentina
Tupelo, Mississípi, Estados Unidos
St. Louis, Missouri, Estados Unidos
Saltos de Mocona, Misiones, Argentina
Misima, Papua-Nova Guiné
Kansas City, Missouri, Estados Unidos
São Miguel das Missões, Rio Grande do Sul, Brasil
Mitiga, Líbia Árabe Jamahiriya
Mitiaro, Ilhas Cook
Mittelwihr, Alsacia, França
Mitchell, Queensland, Austrália
Mitchell, Dakota do Sul, Estados Unidos
Mitspeh Ramona, Israel
Mitu, Vaupés, Colômbia
Mitzic, Woleu-Ntem, Gabão
Aeroporto Maiduguri, Maiduguri, Nigéria
Miyazaki, Miyazaki-ken, Japão
Miyanmin, Papua-Nova Guiné
Sendai, Miyagi-ken, Japão
Miyake Jima, Japão
Miyawaka, Japão
Miyakojima, Okinawa-ken, Japão
Mizan Teferi, Etiópia
Aizawl, Mizoram, Índia
Aeroporto Manja, Manja, Madagáscar
Aeroporto Mejit Island, Mejit Island, Palau
Aeroporto Man, Man, Costa do Marfim
Aeroporto Mohenjodaro, Moenjodaro, Paquistão
Aeroporto Majkin, Majkin, Ilhas Marshall
Aeroporto Kjaerstad, Mosjoen, Noruega
Aeroporto Majma, Majma, Arábia Saudita
Aeroporto Mitiga, Mitiga, Líbia Árabe Jamahiriya
Aeroporto Moki, Moki, Papua-Nova Guiné
Aeroporto Shark Bay, Monkey Mia, Austrália
Aeroporto Mouila, Mouila, Gabão
Aeroporto Mbuji Mayi, Mbuji-Mayi, República Democrática do Congo
Aeroporto Amborovy, Mahajanga, Madagáscar
Aeroporto Manjimup, Manjimup, Austrália
Aeroporto Maganja Da Costa, Maganja da Costa, Moçambique
Aeroporto Internacional Mytilene, Mytilene, Grécia
Aeroporto Mamuju, Mamuju, Indonésia
Aeroporto San Javier, Múrcia, Espanha
Aeroporto Mangunjaya, Mangunjaya, Indonésia
Aeroporto Mirnyj, Mirnyy, Rússia
Mkambati, Eastern Cape, África do Sul
Aeroporto Mekambo, Mekambo, Gabão
Aeroporto Downtown, Kansas City, Estados Unidos
Aeroporto Chagni, Metekel, Etiópia
Aeroporto Internacional General Mitchell, Milwaukee, Estados Unidos
Aeroporto Muskegon, Muskegon, Estados Unidos
Aeroporto Mokhotlong, Mokhotlong, Lesoto
Aeroporto Makoua, Makoua, Congo
Aeroporto Molokai, Molokai / Hoolehua, Estados Unidos
Aeroporto Mc Kellar-Sipes Regional, Jackson, Estados Unidos
Aeroporto Mukah, Mukah, Malásia
Aeroporto Malekolon, Malekolon, Papua-Nova Guiné
Aeroporto Makemo, Makemo, Polinésia Francesa
Aeroporto Mopah, Merauke, Indonésia
Aeroporto Meekatharra, Meekatharra, Austrália
Aeroporto Mekane Selam, Mekane Selam, Etiópia
Mkuze, KwaZulu-Natal, África do Sul
Aeroporto Mt Cavenagh, Mt. Cavenagh, Austrália
Aeroporto Rendani, Manokwari, Indonésia
Aeroporto Mukalla, Mukalla, Iêmen
Aeroporto Mackay, Mackay, Austrália
Aeroporto Batu Berendam, Malacca, Malásia
Aeroporto Internacional Malta, Malta, Malta
Aeroporto Internacional Melbourne, Melbourne, Estados Unidos
Aeroporto Internacional Ibrahim Nasir, Malé, Maldivas
Aeroporto Abdul Rahman Saleh, Malang, Indonésia
Aeroporto Euro, Mulhouse, França
Mlini, Dubrovacko-Neretvanska Zupanija, Croácia
Aeroporto Marshall, Fortuna Ledge, Estados Unidos
Aeroporto Francisco J. Múgica Internacional, Morelia, México
Aeroporto Melilla, Melilla, Espanha
Aeroporto Milos, Milos, Grécia
Aeroporto Malabang, Malabang, Filipinas
Aeroporto Malalaua, Malalaua, Papua-Nova Guiné
Aeroporto Millicent, Millicent, Austrália
Aeroporto Municipal, Miles City, Estados Unidos
Aeroporto Municipal, Monroe, Estados Unidos
Aeroporto Merluna, Merluna, Austrália
Aeroporto Sprigg Payne, Monrovia, Libéria
Aeroporto Malatya, Malatva, Turquia
Aeroporto Manley Hot Springs, Manley Hot Springs, Estados Unidos
Mmabatho, África do Sul
Aeroporto Memanbetsu, Memanbetsu, Japão
Aeroporto Maridor, Minami Daito Jima, Japão
Aeroporto Durham Tees Valley, Tees Side, Reino Unido
Aeroporto Mamfe, Mamfe, Camarões
Aeroporto Mount Magnet, Mount Magnet, Austrália
Aeroporto Mammoth Lakes, Mammoth Lakes, Estados Unidos
Aeroporto Matsumoto, Matsumoto, Japão
Aeroporto Murmansk, Murmansk, Rússia
Aeroporto Middlemount, Middlemount, Austrália
Aeroporto Vila Do Maio, Maio, Cabo Verde
Aeroporto Mbala, Mbala, Zâmbia
Aeroporto Municipal, Manville, Estados Unidos
Aeroporto Moma, Moma, Moçambique
Aeroporto Sturup, Malmo, Suécia
Aeroporto Hirara, Miyakojima, Japão
Aeroporto Maimana, Maimana, Afeganistão
Aeroporto Melangguane, Melangguane, Indonésia
Aeroporto Moanda, Moanda, República Democrática do Congo
Aeroporto Nacala, Nacala, Moçambique
Aeroporto Pembroke Area Mncpl, St. Thomas, Canadá
Aeroporto Mungeranie, Mungeranie, Austrália
Aeroporto Mana Island Airstrip, Mana, Fiji
Aeroporto Maningrida, Maningrida, Austrália
Aeroporto Minneriya, Minneriya, Sri Lanka
Aeroporto Gerald''s, Montserrat, Montserrat
Aeroporto Mananjary, Mananjary, Madagáscar
Aeroporto Maiana, Maiana, Kiribati
Aeroporto Ninoy Aquino Intl, Manila, Filipinas
Aeroporto Manono, Manono, República Democrática do Congo
Aeroporto Maron, Maron, Papua-Nova Guiné
Aeroporto Monto, Monto, Austrália
Aeroporto Mongu, Mongu, Zâmbia
Aeroporto Mansa, Mansa, Zâmbia
Aeroporto Minto, Minto, Estados Unidos
Aeroporto Maulmyine, Maulmyine, Mianmar [Birmânia]
Aeroporto Mountain Valley, Mountain Valley, Austrália
Aeroporto Macdonald Downs, MacDonald Downs, Austrália
Aeroporto Mono, Mono, Ilhas Salomão
Moala, Fiji
Moanda, Haut-Ogooue, Gabão
Moa, Holguin, Cuba
Moanamani, Indonésia
Moab, Utah, Estados Unidos
Moabi, Nyanga, Gabão
Moanda, Bas-Congo, República Democrática do Congo
Moba, Congo
Moberly, Missouri, Estados Unidos
Mobile, Alabama, Estados Unidos
Maputo, Cidade de Maputo, Moçambique
Mococa, São Paulo, Brasil
Moctezuma, Sonora, México
Mocoreta, Corrientes, Argentina
Los Mochis, Sinaloa, México
Mocimboa da Praia, Cabo Delgado, Moçambique
Moclips, Washington, Estados Unidos
Saltos de Mocona, Misiones, Argentina
Modesto, Califórnia, Estados Unidos
Modum, Buskerud fylke, Noruega
Moehnesee, Land Nordrhein-Westfalen, Alemanha
Moeciu de Sus, Judetul Brasov, Roménia
Moenjodaro, Paquistão
Moenchengladbach, Land Nordrhein-Westfalen, Alemanha
Aeroporto Waioti, Maumere, Indonésia
Mogi das Cruzes, São Paulo, Brasil
Mogi Mirim, São Paulo, Brasil
Mogi Guacu, São Paulo, Brasil
Mogeiro, Paraíba, Brasil
Mogúncia, Rheinland-Pfalz, Alemanha
Mogliano Veneto, Veneto, Itália
Mogadishu, Gobolka Banaadir, Somália
Mogan, Canárias, Espanha
Moheli, Ilhas Comores
Mohanbari, Índia
Jounieh, Mohafazat Mont-Liban, Líbano
Bsharri, Mohafazat Liban-Nord, Líbano
Des Moines, Iowa, Estados Unidos
Moises Ville, Santa Fe, Argentina
Mojave, Califórnia, Estados Unidos
Las Mojarras, Córdoba, Argentina
El Mojón, Santiago del Estero, Argentina
Mojones Norte, Entre Rios, Argentina
Mojacar, Andaluzia, Espanha
Moki, Papua-Nova Guiné
Mokpo, República da Coréia
Bordj Badji Mokhtar, Argélia
Mokuti, Namíbia
Mokhotlong, Mokhotlong, Lesoto
Molde, More og Romsdal fylke, Noruega
Moline, Ilinóis, Estados Unidos
Los Molinos, Santa Fe, Argentina
Los Molinos, Córdoba, Argentina
Molino, Baja California, México
Molinari, Córdoba, Argentina
Molino Doll, Entre Rios, Argentina
Los Molles, Mendoza, Argentina
Momoxpan, Puebla, México
Mombasa, Coast, Quênia
Moma, Nampula, Moçambique
Mombaca, Ceará, Brasil
Mompos, Bolívar, Colômbia
Momeik, Shan, Mianmar [Birmânia]
Monte Verde, Minas Gerais, Brasil
Montreal, Quebeque, Canadá
Santa Monica, Califórnia, Estados Unidos
Montego Bay, Saint James, Jamaica
Monte Sião, Minas Gerais, Brasil
Mongaguá, São Paulo, Brasil
Montevidéu, Montevideo, Uruguai
Montes Claros, Minas Gerais, Brasil
Moosonee, Ontário, Canadá
Moorabbin, Austrália
Moose Jaw, Saskatchewan, Canadá
Mooraberrie, Austrália
Sun Moon Lake, Taiwan
Moolawatana, Austrália
Moomba, Austrália
Moorea, Polinésia Francesa
Mopti, Mali
Ilo, Moquegua, Peru
Moquehue, Neuquén, Argentina
Morretes, Parana, Brasil
Morrinhos, Goiás, Brasil
Morro de São Paulo, Bahia, Brasil
Morro Branco, Ceará, Brasil
Samedan / St. Moritz, Kanton Graubunden, Suíça
Marrakech, Marrakech-Tensift-Al Haouz, Marrocos
Puerto Morelos, Quintana Roo, México
Francisco Morato, São Paulo, Brasil
Mossoró, Rio Grande do Norte, Brasil
Mossel Bay, the Western Cape, África do Sul
Moshi, Kilimanjaro Region, Tanzânia
Mosul, Muhafazat Ninawa, Iraque
Mosjoen, Nordland Fylke, Noruega
Mostyn, Malásia
Moscou, Moscou, Rússia
Sochi, Moscou, Rússia
Motueka, Tasman, Nova Zelândia
Mota Lava, Vanuatu
Candido Mota, São Paulo, Brasil
Mountain View, Califórnia, Estados Unidos
Mougulu, Western, Papua-Nova Guiné
Moundou, Logone Occidental Region, Chade
Mould Bay, Canadá
Mountain, Nepal
Campo Mourão, Parana, Brasil
Mount Cook, Nova Zelândia
Mouila, Ngounie, Gabão
Aeroporto Moranbah, Moranbah, Austrália
Luena, Moxico, Angola
Luau, Moxico, Angola
San Ignacio de Moxos, Bolívia
Cangamba, Moxico, Angola
Jamba, Moxico, Angola
Moyale, Eastern, Quênia
Khoka Moya, África do Sul
Moyobamba, San Martín, Peru
Luis Moya, Zacatecas, México
Moyahua, Zacatecas, México
Sarh, Moyen-Chari Region, Chade
Moyo, Northern Region, Uganda
Moyale, Oromiya Region, Etiópia
Borgo a Mozzano, Toscana, Itália
Nacala, Moçambique
Angoche, Nampula, Moçambique
Pemba, Cabo Delgado, Moçambique
Ibo, Cabo Delgado, Moçambique
Maputo, Cidade de Maputo, Moçambique
Mueda, Cabo Delgado, Moçambique
Xai-Xai, Gaza, Moçambique
Mpacha, Namíbia
Aeroporto Muko-Muko, Muko Muko, Indonésia
Aeroporto Mirpur Khas, Mirpur Khas, Paquistão
Aeroporto Mapoda, Mapoda, Papua-Nova Guiné
Aeroporto Makini, Makini, Papua-Nova Guiné
Aeroporto Malay, Malay, Filipinas
Aeroporto Mamitupo, Mamitupo, Panamá
Aeroporto Mokpo, Mokpo, República da Coréia
Aeroporto Montpellier Méditerranée, Montpellier, França
Aeroporto Internacional Maputo, Maputo, Moçambique
Aeroporto Mount Pleasant, Mount Pleasant, Ilhas Malvinas
Aeroporto Mulatupo, Mulatupo, Panamá
Aeroporto Maan, Maan, Jordânia
Aeroporto Maliana, Maliana, Indonésia
Komatipoort, Mpumalanga, África do Sul
Nelspruit, Mpumalanga, África do Sul
Aeroporto Mariupol, Mariupol, Ucrânia
Aeroporto Miyanmin, Miyanmin, Papua-Nova Guiné
Aeroporto Maripasoula, Maripasoula, Guiana Francesa
Aeroporto Mandora, Mandora, Austrália
Aeroporto Miquelon Aprt, Miquelon, Saint Pierre e Miquelon
Aeroporto Marqua, Marqua, Austrália
Aeroporto Magnitogorsk, Magnitogorsk, Rússia
Aeroporto Minacu, Minacu, Brasil
Aeroporto Mildura, Mildura, Austrália
Aeroporto Mardin, Mardin, Turquia
Aeroporto Mo I Rana, Mo i Rana, Noruega
Kruger Mpumalanga International Airport , Nelspruit, África do Sul
Aeroporto Moundou, Moundou, Chade
Aeroporto Mustique, Mustique Island, São Vincente e Granadinas
Aeroporto Internacional Sawyer, Marquette, Estados Unidos
Aeroporto Makale, Makale, Etiópia
Aeroporto Misurata, Misurata, Líbia Árabe Jamahiriya
Aeroporto Eastern Wv Regional /Shepherd Field, Martinsburg, Estados Unidos
Aeroporto A Carnevalli, Mérida, Venezuela
Aeroporto Mara Lodges, Mara Lodges, Quênia
Aeroporto Mareeba, Mareeba, Austrália
Aeroporto May River, May River, Papua-Nova Guiné
Aeroporto Miners Lake, Miners Lake, Austrália
Aeroporto Manare, Manare, Papua-Nova Guiné
Aeroporto Masterton/Hood Aerodrome, Masterton, Nova Zelândia
Aeroporto Marla, Marla, Austrália
Aeroporto Marinduque, Marinduque, Filipinas
Marselha, Provence-Alpes-Côte d'Azur, França - Todos os aeroportos
Aeroporto Moroak, Moroak, Austrália
Aeroporto Internacional Sir Seewoosagur Ramgoolam, Plaisance, Maurício
Aeroporto Mineralnye Vodyj, Mineralniye Vody, Rússia
Aeroporto Maribo, Maribo, Dinamarca
Aeroporto Monterey Peninsula, Monterei, Estados Unidos
Aeroporto Moree, Moree, Austrália
Aeroporto Muskrat Dam, Muskrat Dam, Canadá
Aeroporto Marigot SPB, Saint Martin, Guadalupe
Aeroporto Internacional Kent, Manston, Reino Unido
Aeroporto Mount Swan, Mt. Swan, Austrália
Aeroporto Matsaile, Matsaile, Lesoto
Aeroporto Masirah, Masirah, Omã
Aeroporto Masalembo, Masalembo, Indonésia
Aeroporto Misawa, Misawa, Japão
Aeroporto Mastic Point, Mastic Point, Bahamas
Aeroporto Sheffield, Muscle Shoals, Estados Unidos
Aeroporto Masi Manimba, Masi Manimba, República Democrática do Congo
Aeroporto Dane County Regional, Madison, Estados Unidos
Aeroporto Internacional Missoula, Missoula, Estados Unidos
Aeroporto Minneapolis - St. Paul Intl, Minneapolis, Estados Unidos
Aeroporto Internacional Minsk 2, Minsk, Bielo-Rússia
Aeroporto Mus, Mus, Turquia
Aeroporto Richards Field, Massena, Estados Unidos
Aeroporto Maastricht/aachen, Maastricht, Holanda
Aeroporto Moshoeshoe Intl, Maseru, Lesoto
Aeroporto Internacional Massawa, Massawa, Eritreia
King Mswati III Intl, Manzini, Suazilândia
Aeroporto Mossendjo, Massendjo, Congo
Aeroporto Internacional Louis Armstrong New Orléans, Nova Orleans, Estados Unidos
Aeroporto Namibe, Namibe, Angola
Aeroporto Matamata, Matamata, Nova Zelândia
Aeroporto Mt Sandford, Mt. Sanford, Austrália
Aeroporto Mizan Teferi, Mizan Teferi, Etiópia
Aeroporto Mosteiros, Mosteiros, Cabo Verde
Aeroporto Montrose Regional, Montrose, Estados Unidos
Aeroporto Makin Island, Makin, Kiribati
Aeroporto Maitland, Maitland, Austrália
Aeroporto SPB, Metlakatla, Estados Unidos
Aeroporto Mitchell, Mitchell, Austrália
Aeroporto Los Garzones, Monteria, Colômbia
Aeroporto Matsapha Intl, Manzini, Suazilândia
Aeroporto Minatitlan, Minatitlan, México
Aeroporto Montepuez, Montepuez, Moçambique
Aeroporto Mota Lava, Mota Lava, Vanuatu
Mtwara, Mtwara Region, Tanzânia
Masasi, Mtwara Region, Tanzânia
Aeroporto Gen Mariano Escobedo, Monterrey, México
Aeroporto Masada, Masada, Israel
Aeroporto Muang Ubon, Ubon Ratchathni, Tailândia
Aeroporto Munda, Munda, Ilhas Salomão
Aeroporto Maun, Maun, Botsuana
Mucuri, Bahia, Brasil
Mucambo, Ceará, Brasil
Muccan, Austrália
Mucugê, Bahia, Brasil
Mucurici, Espírito Santo, Brasil
Mudanjiang, República Popular da China
Mudgee, Nova Gales do Sul, Austrália
Obbia, Gobolka Mudug, Somália
Galcaio, Gobolka Mudug, Somália
Río Muerto, Chaco, Argentina
Val Muestair, Kanton Graubunden, Suíça
Muenster, Land Nordrhein-Westfalen, Alemanha
Mueda, Cabo Delgado, Moçambique
Mueo, Nova Caledônia
Aeroporto Muting, Muting, Indonésia
Dalaman, Mugla, Turquia
Marmaris, Mugla, Turquia
Point Mugu, Califórnia, Estados Unidos
Charm el-Cheikh, Muhafazat Janub Sina, Egito
Hurghada, Muhafazat al Bahr al Ahmar, Egito
Salalah, Muhafazat Zufar, Omã
Dhamar, Muhafazat Dhamar, Iêmen
Al Bayda, Muhafazat al Bayda, Iêmen
Aswan, Muhafazat Aswan, Egito
Kirkuk, Muhafazat Kirkuk, Iraque
Cairo, Muhafazat al Qahirah, Egito
